Time: 0m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 28m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 29m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 29m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 30m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 30m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 31m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 31m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 32m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 32m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 33m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 33m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 34m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 34m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 35m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 35m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 36m0s -JunctionD: 4 cars through from , 0 cars waiting.
Time: 36m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 37m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 37m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 38m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 38m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 39m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 39m30s -JunctionD: 4 cars through from , 1 cars waiting.
Time: 40m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 40m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 41m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 41m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 42m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 42m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 43m0s -JunctionD: 4 cars through from , 1 cars waiting.
Time: 43m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 44m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 44m30s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 45m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 45m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 46m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 46m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 47m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 47m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 48m0s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 48m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 49m0s -JunctionD: 1 cars through from , 1 cars waiting.
Time: 49m30s -JunctionD: 4 cars through from , 1 cars waiting.
Time: 50m0s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 50m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 51m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 51m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 52m0s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 52m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 53m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 53m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 54m0s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 54m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 55m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 55m30s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 56m0s -JunctionD: 0 cars through from , 0 cars waiting.
Time: 56m30s -JunctionD: 3 cars through from , 0 cars waiting.
Time: 57m0s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 57m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 58m0s -JunctionD: 3 cars through from , 1 cars waiting.
Time: 58m30s -JunctionD: 2 cars through from , 1 cars waiting.
Time: 59m0s -JunctionD: 2 cars through from , 0 cars waiting.
Time: 59m30s -JunctionD: 1 cars through from , 0 cars waiting.
Time: 60m0s -JunctionD: 1 cars through from , 1 cars waiting.
